1|Pierre_Markuse|Pierre_Markuse|Pierre_Markuse|Never stop being curious! #RemoteSensing #Sentinel #Landsat some #wx DMs open|2007-08-16|2020-07-14
2|tonyveco|tonyveco|tonyveco|#remote sensing engr/@ESAesdc trainee 2014-15/ @copernicusEu &|2007-05-14|2020-07-24
3|CaitlinHafferty|CaitlinHafferty|CaitlinHafferty|PhD student @CCRI_UK in #participatory planning • People, place & technology|2006-10-30|2020-05-10
4|puntofisso|puntofisso|puntofisso|Head of Data @transportgovuk · Advisor @RCOphth · Chair of Resources @devonshirehill|2006-12-21|2020-07-21
5|PJACaytonPhD|PJACaytonPhD|PJACaytonPhD|Statistician. No-Skill Gamer. Foodie. Art Buff. Big|2009-03-09|2020-02-06
6|demo_demo_nl|demo_demo_nl|demo_demo_nl|Dr. Jan H. van de Beek studeerde wiskunde en informatica|1998-07-06|2020-06-15
7|HeinzVHoenen|HeinzVHoenen|HeinzVHoenen|Never stop being curious! #RemoteSensing #Sentinel #Landsat some #wx DMs open|2006-07-16|2020-01-05
8|ComisionEuropea|ComisionEuropea|ComisionEuropea|¡Hola! Te damos la bienvenida a la Representación de la Comisión|2002-08-02|2020-01-28
9|QParrinello|QParrinello|QParrinello|Responsable plaidoyer @oxfamfrance Lutte contre l'évasion fiscale & les inégalités|1999-11-27|2020-02-22
10|osaka_sirokichi|osaka_sirokichi|osaka_sirokichi|Directora de Comunicación en @OpenFuture_And y project manager de @innn #Málaga.|2003-10-08|2020-07-18
11|angelamoron|angelamoron|angelamoron|@EU_Commission Directorate-General for Defence Industry and Space l DG DEFIS|2006-08-24|2020-05-13
12|defis_eu|defis_eu|defis_eu|Free software officer for the french public sector. Now at @Etalab|1998-10-11|2020-03-25
13|bzg2|bzg2|bzg2|Offizieller Account der Geschäftsstelle #opengovernmentdata @StatSchweiz Compte officiel du secrétariat #opengovernmentdata|2006-06-18|2020-02-19
14|opendataswiss|opendataswiss|opendataswiss|Better data. Better decisions. Better Lives. We're the|2002-12-01|2020-05-09
15|Piersoft|Piersoft|Piersoft|Open Science Special Interest Group of the Organization for Human Brain Mapping|2000-05-10|2020-05-10
16|Data4SDGs|Data4SDGs|Data4SDGs|Networking Engineer,Wikipedia Editor, OSM mapper , #opendata|2002-05-11|2020-05-05
17|OhbmOpen|OhbmOpen|OhbmOpen|Real-time tracking of pathogen evolution|1998-11-14|2020-05-04
18|naveenpf|naveenpf|naveenpf|Physician - Scientist Public Health-Epidemiology Data Science Nerd  #CienciaEnPanama|2006-02-22|2020-02-14
19|nextstrain|nextstrain|nextstrain|Lawyer, Fmr. Presidential Spokesperson/Cabinet Secretary, Public/Private &|2002-05-11|2020-04-08
20|arebollon|arebollon|arebollon|PhD Epidemiology student & Vanier Scholar @UofT_dlsph studying infectious diseases. Epidemiology|2001-03-06|2020-01-10
21|dawende|dawende|dawende|Software developer, teacher, hypnotist, traveller, learner. Working|1999-10-27|2020-05-05
22|JPSoucy|JPSoucy|JPSoucy|Comunicador Social y Periodista.|2001-04-23|2020-05-18
23|turicas|turicas|turicas|Real-time tracking of pathogen evolution|2008-03-06|2020-02-02
24|CarloosDiaz|CarloosDiaz|CarloosDiaz|Desde @el_BID mejoramos vidas en #AmLat y el Caribe promoviendo gobiernos efectivos|2005-09-10|2020-02-10
25|jhonbarrero|jhonbarrero|jhonbarrero|La guerra è pace. La libertà è schiavitù. L'ignoranza|2003-07-12|2020-03-13
26|Amareto|Amareto|Amareto|Sovranista psichico. Percezioni errate.|2001-09-14|2020-06-04
27|BID_GobernArte|BID_GobernArte|BID_GobernArte|The future by @konbinifr|2004-11-05|2020-07-11
28|1WinstonSmith1|1WinstonSmith1|1WinstonSmith1|Official Twitter feed of the World Bank Gender Group|2005-10-15|2020-02-24
29|konbinitechno|konbinitechno|konbinitechno|Never stop being curious! #RemoteSensing #Sentinel #Landsat some #wx DMs open|2000-10-10|2020-06-05
30|WBG_Gender|WBG_Gender|WBG_Gender|Ing. Electrónico @PUCP. PMP, Project Manager Technology/Mining.|2009-09-29|2020-07-10
31|suxsonica|suxsonica|suxsonica|Never stop being curious! #RemoteSensing #Sentinel #Landsat some #wx DMs open|2004-07-21|2020-03-16
32|rparrawong|rparrawong|rparrawong|Pediatrician and Pediatric Respirologist. Proxy. Squid. Kakapo UofC|2001-03-18|2020-03-26
33|kylebarron2|kylebarron2|kylebarron2|Profesor asistente de economía en la Universidad de los Andes|2004-06-10|2020-05-17
34|PediHatrick|PediHatrick|PediHatrick|Global Director Finance, Competitiveness & Innovation. The World Bank Group|2002-08-30|2020-05-26
35|DavidPerezReyna|DavidPerezReyna|DavidPerezReyna|Official World Bank Research Twitter account. Tweeting about economic research,|2006-03-09|2020-04-21
36|agarmora|agarmora|agarmora|A ver si me dura la cuenta, que todo hay que|2007-08-09|2020-04-18
37|wb_research|wb_research|wb_research|Y la S del final... a saber por qué es.|2004-02-04|2020-03-24
38|aVersIMEduraS|aVersIMEduraS|aVersIMEduraS|Team Lead, Java Developer & Architect, Space/Design/Java/JVM|2004-09-02|2020-03-03
39|gomatama_mimi|gomatama_mimi|gomatama_mimi|A ver si me dura la cuenta, que todo hay que|1998-07-03|2020-04-14
40|DrEdwardHyde|DrEdwardHyde|DrEdwardHyde|Y la S del final... a saber por qué es.|2002-12-10|2020-02-06
41|Calcijp|Calcijp|Calcijp|Innovación • Tecnología • Ambiente • Política • Educación • Activismo •|2004-02-26|2020-01-09
42|AndreBConte|AndreBConte|AndreBConte|PhD student @UCRiverside studying #PlasticPollution. Funded by @NSFGRFP. #OpenData advocate|2000-12-22|2020-07-03
43|vallejohidalgo|vallejohidalgo|vallejohidalgo|Working for the @mappingministry. Doing a PhD in Geospatial Science.|2001-09-02|2020-03-28
44|TakumiSoftware|TakumiSoftware|TakumiSoftware|PhD student @UCRiverside studying #PlasticPollution. Funded by @NSFGRFP. #OpenData advocate|1998-10-01|2020-03-16
45|acocil66|acocil66|acocil66|PhD student @UCRiverside studying #PlasticPollution. Funded by @NSFGRFP. #OpenData advocate|1999-08-28|2020-06-10
46|Win_OpenData|Win_OpenData|Win_OpenData|PhD Epidemiology student & Vanier Scholar @UofT_dlsph studying infectious diseases. Epidemiology|2008-08-30|2020-06-21
47|mapmakerdavid|mapmakerdavid|mapmakerdavid|Temple Univ. prof and ex-UK cop. Host of Reducing|2007-06-12|2020-04-14
48|sole_reta|sole_reta|sole_reta|Software developer, teacher, hypnotist, traveller, learner. Working|2000-10-04|2020-03-02
49|DonRudi|DonRudi|DonRudi|VISION OF THE FUTURE - #AI #Leadership #SDGs #BCI #drones #Innovation #braincloudinterface|2007-09-25|2020-01-12
50|Jerry_Ratcliffe|Jerry_Ratcliffe|Jerry_Ratcliffe|Una iperattiva, nonostante tutto. Appassionata di informatica da sempre è|1998-04-26|2020-01-01
